Name,R0,TCR
OT1,358.5574,0.0026505
OT2,347.2003,0.0025387
OT3,390.165,0.0025911
OT4,373.4961,0.0026679
OT5,376.3096,0.0027361
BP-24,359.4373953810788,0.001616287008949
BP1-4,321.728823036734,0.001933946496
BP2-13,343.4328,0.0016197
Omn.4.,383.1654069194647,0.0017874278344004
Omn4A,324.3080138141619,0.0020533690229539
Omn4B,387.98651336528366,0.0017196732135173
Omn8A,340.01957979212483,0.0019550263818171
Omn8B,320.1578125087019,0.0019276268443303
TE3,325.404040985159,0.0028224961105509
TE4,386.4340441693392,0.0015624165684849
TE6,363.0150297401337,0.0018128901397923
SMA15,366.374045796108,0.0030133133308511
SMA17,344.4018153536818,0.0026115507571419
ST6,336.58654765234223,0.0029268636331624
ST7,334.65440323958643,0.0030000048638122
ST8,416.031703784393,0.0029859935476909
ST9,428.648038900909,0.00299276200006825
T1,353.7045,0.0015927
